"state","county","total","p_f","p_m","p_wa","p_ba","p_ia","p_aa","p_na","p_h","15-19y","20-29y","30-49y","50-69y","over 70y"
"Idaho","Power County",7950,0.49157232704402515,0.5084276729559748,0.9174842767295598,0.012075471698113207,0.038238993710691824,0.0057861635220125785,0.002012578616352201,0.34855345911949687,0.07836477987421384,0.054842767295597485,0.048427672955974846,0.056981132075471695,0.014088050314465408
"Idaho","Shoshone County",13612,0.4900088157508081,0.5099911842491919,0.940714075815457,0.007052600646488392,0.01741110784601822,0.006171025565677344,0.001763150161622098,0.04099324125771378,0.05201292976785189,0.05715545107258301,0.05421686746987952,0.07948868645312959,0.020055833088451366
"Idaho","Teton County",12267,0.4772152930626885,0.5227847069373115,0.9611967066112334,0.005298769055188717,0.010026901442895574,0.0077443547729681254,0.001222792858889704,0.16043042308632918,0.05967229151381756,0.058286459607075895,0.07850330154071901,0.05804190103529795,0.008151952392598028
"Idaho","Twin Falls County",92243,0.503994883080559,0.49600511691944105,0.9334475244734017,0.010049543054757543,0.014039005669806924,0.018071832008932927,0.0026668690307123577,0.1780297691965786,0.07104062096852878,0.06514315449410796,0.05368429040686014,0.05287122058042345,0.015610940667584533
"Idaho","Valley County",12241,0.4859080140511396,0.5140919859488604,0.9602156686545217,0.004329711624867249,0.011355281431255616,0.006372028429049915,0.0007352340495057594,0.0508128420880647,0.045666203741524386,0.04117310677232252,0.06020749938730496,0.10121722081529287,0.01682869046646516
"Idaho","Washington County",10898,0.4984400807487612,0.5015599192512388,0.942741787483942,0.0067902367406863645,0.015966232336208478,0.009818315287208662,0.0013763993393283171,0.16691135988254727,0.07056340612956506,0.04404477885850615,0.05221141493852083,0.08157460084419159,0.023765828592402276
"Illinois","Adams County",64954,0.5041106013486467,0.4958893986513533,0.9237460356560027,0.04109061797579826,0.003156079687163223,0.009206515380115158,0.0004618653200726668,0.018736336484281184,0.06136650552698833,0.05702497151830526,0.05326846691504757,0.061966930443082796,0.031237491147581366
"Illinois","Alexander County",5030,0.5093439363817097,0.4906560636182903,0.6520874751491054,0.30775347912524853,0.00536779324055666,0.002783300198807157,0.002186878727634195,0.02246520874751491,0.05805168986083499,0.04592445328031809,0.053479125248508945,0.08190854870775348,0.028429423459244534
"Illinois","Bond County",16596,0.4738491202699446,0.5261508797300555,0.9017233068209207,0.06447336707640396,0.007531935406121957,0.007712701855868884,0.0006628103157387323,0.03940708604483008,0.05838756326825741,0.05983369486623283,0.05911062906724512,0.0636297903109183,0.025608580380814653
"Illinois","Boone County",53159,0.4963599766737523,0.5036400233262477,0.9222897345698753,0.028875637239225718,0.009480990989296263,0.014748208205571963,0.0009593859929645027,0.239451456949905,0.07752215052954345,0.05729979871705638,0.06493726368065615,0.05346225474519837,0.015519479297955191
"Illinois","Brown County",6421,0.33421585422831335,0.6657841457716867,0.7582931007631211,0.2144525774801433,0.012303379535897834,0.00389347453667653,0.0004672169444011836,0.07257436536365053,0.046098738514250115,0.09671390749104501,0.06743497897523751,0.04454134869957951,0.01775424388724498
"Illinois","Bureau County",32883,0.5038773834504151,0.4961226165495849,0.956086731745887,0.012103518535413435,0.005261077152327951,0.011404068971809142,0.0005778061612383298,0.10056868290606089,0.06301128242556944,0.05270200407505398,0.05692911230727123,0.06976249125688046,0.029650579326703768
"Illinois","Calhoun County",4369,0.494850080109865,0.505149919890135,0.9796292057679102,0.005951018539711604,0.0032043945983062485,0.003433279926756695,0,0.01739528496223392,0.05539024948500801,0.04554818036163882,0.05996795605401694,0.07370107576104372,0.027695124742504004
"Illinois","Carroll County",15698,0.4955408332271627,0.5044591667728373,0.9590393680723659,0.013313797936042808,0.004713976302713721,0.006752452541725061,0.00044591667728373043,0.0425531914893617,0.05675882277997197,0.048477513058988404,0.05694992992737928,0.07809912090712193,0.03185119123455217
"Illinois","Cass County",12773,0.4962812181946293,0.5037187818053707,0.9071478900806389,0.05785641587724105,0.008768496046347765,0.009942848195412197,0.002113833868315979,0.20692084866515306,0.06670320206685978,0.05621232286855085,0.06020512017536992,0.058874187739763564,0.021764659829327487
"Illinois","Champaign County",205943,0.5023914384077147,0.4976085615922852,0.7122407656487475,0.14351058302540023,0.0038554357273614544,0.10627212384009167,0.0011702267132167638,0.06636787849065033,0.0996246534235201,0.0706506169182735,0.04864452785479478,0.04753742540411667,0.015951015572269998
"Illinois","Christian County",33662,0.4852949913849445,0.5147050086150555,0.960222209019072,0.017289525280731983,0.002792466282454994,0.007307943675360941,0.0004753134097795734,0.01702216148773097,0.057631750935773274,0.0603350959538946,0.0603350959538946,0.06553383637335869,0.025696631216208188
"Illinois","Clark County",15300,0.5022875816993464,0.4977124183006536,0.9773202614379085,0.005098039215686275,0.002352941176470588,0.003594771241830065,0.000392156862745098,0.017973856209150325,0.059019607843137256,0.054705882352941174,0.05588235294117647,0.06294117647058824,0.02483660130718954
"Illinois","Clay County",13143,0.5030054021151944,0.4969945978848056,0.969945978848056,0.005934718100890208,0.0028151867914479193,0.009282507798828273,0.00015217225899718482,0.017728068173172032,0.06071673133987674,0.05866240584341475,0.05630373582895838,0.0651297268507951,0.02495625047553831
"Illinois","Clinton County",36793,0.4778898159976082,0.5221101840023917,0.9372978555703531,0.037941999836925505,0.003696355284972685,0.0060337564210583535,0.0006522979914657679,0.03364770472644253,0.05683146250645503,0.0625390699317805,0.05745658141494306,0.06126165303182671,0.022368385290680293
"Illinois","Coles County",46765,0.5114508713781675,0.4885491286218326,0.9225702983000107,0.04199722014326954,0.0033999786164866886,0.010264086389393778,0.0013257778252966962,0.03111301186784989,0.0798460387041591,0.061776969956163795,0.05268897679888806,0.05970276916497381,0.021255212231369613
"Illinois","Cook County",5173146,0.5117450773668479,0.48825492263315207,0.6521205858098728,0.23702076067445227,0.007632106265703694,0.08089506849410398,0.0007132990253899658,0.2603027248795994,0.061063422528573524,0.07833047820417209,0.0614583466231187,0.05170992660945583,0.01847212508597283
"Illinois","Crawford County",18659,0.47060399807063613,0.5293960019293639,0.9208424888793612,0.055415617128463476,0.0038587276917305324,0.00685996034085428,0.0005359344016292406,0.026100005359344015,0.05321828608178359,0.06629508548153706,0.06163245618736267,0.06313307251192454,0.02336673991103489
"Illinois","Cumberland County",10345,0.4987916868052199,0.5012083131947801,0.9705171580473658,0.006283228612856452,0.002319961333977767,0.006766553890768487,0.0008699855002416626,0.013726437892701789,0.06041565973900435,0.049395843402609954,0.056742387626872885,0.06892218463025616,0.026582890285161913
"Illinois","DeKalb County",100414,0.502360228653375,0.49763977134662496,0.8530682972493875,0.09029617384030116,0.0053777361722468974,0.026948433485370567,0.0009759595275559185,0.12565976855816918,0.08861314159380167,0.06928316768578087,0.05014241042085765,0.04538211803135021,0.01420120700300755
"Illinois","De Witt County",15341,0.49964148360602306,0.5003585163939769,0.9645394693957369,0.012254742194120332,0.0035199791408643505,0.004693305521152468,0.000521478391239163,0.030832409882015514,0.059578906199074376,0.053125611107489736,0.05866631901440584,0.06687960367642266,0.020924320448471416
"Illinois","Douglas County",19722,0.49959436162660986,0.5004056383733901,0.9646080519217118,0.008569110637866343,0.004512726903965115,0.007200081127674678,0.000152114390021296,0.07585437582395295,0.06774160835615049,0.0598316600750431,0.0571950106480073,0.05993306966839063,0.0254538079302302
"Illinois","DuPage County",924885,0.5049460203160393,0.4950539796839607,0.7877152294609601,0.05409753645047763,0.0042070095201024995,0.13159365758986252,0.0005579071992734231,0.14993864102023494,0.06576168929110106,0.06005287143807068,0.06147034496180606,0.05734875146639853,0.018203344199549134
"Illinois","Edgar County",16520,0.5046004842615012,0.4953995157384988,0.9749394673123487,0.007506053268765133,0.0029055690072639223,0.0038135593220338985,0.0003026634382566586,0.013135593220338982,0.05792978208232445,0.050242130750605324,0.061259079903147697,0.07621065375302663,0.026997578692493945
"Illinois","Edwards County",6075,0.5137448559670782,0.4862551440329218,0.9698765432098766,0.005596707818930041,0.006090534979423868,0.005102880658436214,0,0.012839506172839505,0.06271604938271605,0.047407407407407405,0.06041152263374486,0.07045267489711934,0.026995884773662552
"Illinois","Effingham County",34430,0.49587568980540225,0.5041243101945977,0.9725530060993319,0.0065930874237583505,0.0027011327330816147,0.008306709265175719,0.0004066221318617485,0.022887017136218414,0.061080453093232644,0.061661341853035144,0.052425210572175425,0.06122567528318327,0.020824862038919548
"Illinois","Fayette County",21384,0.4656752712308268,0.5343247287691733,0.9342966704077815,0.046997755331088666,0.003367003367003367,0.003928170594837262,0.0002805836139169473,0.01996820052375608,0.05915637860082305,0.0640198279087168,0.06186868686868687,0.06177515899738122,0.026515151515151516
"Illinois","Ford County",13511,0.5014432684479313,0.4985567315520687,0.9574420842276663,0.013396491747465029,0.0036266745614684332,0.005625046258604101,0.0005921101324846421,0.043520094737621196,0.0649100732736289,0.0551402560876323,0.05669454518540448,0.06483605950706832,0.03064169935608023
"Illinois","Franklin County",37442,0.5031515410501576,0.4968484589498424,0.9687516692484376,0.007878852625393942,0.004326691950216335,0.003926072325196304,0.0002136638000106832,0.020565140751028256,0.05993269590299664,0.05672773890283639,0.06193579402809679,0.06401901607820096,0.022274451151113723
"Illinois","Fulton County",33197,0.47326565653522906,0.5267343434647709,0.9318010663614182,0.045787269934030185,0.007560924179895774,0.0031328132060125915,0.00027110883513570505,0.032292074585052864,0.05672199295117029,0.06099948790553363,0.06304786577100341,0.06705425189023105,0.025092628852004698
"Illinois","Gallatin County",4903,0.5060167244544157,0.49398327554558435,0.9647154803181726,0.008158270446665308,0.004079135223332654,0.0028553946563328572,0,0.016724454415663878,0.05792372017132368,0.051397103813991436,0.06608199061798899,0.06730573118498878,0.020191719355496636
"Illinois","Greene County",11843,0.49092290804694755,0.5090770919530524,0.9696867347800389,0.016043232289115934,0.003293084522502744,0.0027020180697458415,0.0001688761293591151,0.013172338090010977,0.06079540656928143,0.055138056235751076,0.05995102592248586,0.06738157561428693,0.02094064004053027
"Illinois","Grundy County",52989,0.4988959972824549,0.5011040027175452,0.949687671026062,0.02185359225499632,0.0033780595972749063,0.00971899828266244,0.0010379512729056975,0.1117967880126064,0.07024099341372737,0.06001245541527487,0.06352261790182868,0.05006699503670573,0.014738908075260904
"Illinois","Hamilton County",7911,0.5063835166224244,0.4936164833775755,0.9676399949437492,0.007457969915307799,0.005309063329541145,0.0070787511060548605,0.00012640626975097966,0.020857034508911642,0.062191884717481986,0.05486032107192517,0.0577676652761977,0.06800657312602705,0.02894703577297434
"Illinois","Hancock County",17400,0.5000574712643678,0.49994252873563216,0.9719540229885058,0.008333333333333333,0.0035057471264367816,0.0029310344827586207,0.0008045977011494253,0.018448275862068965,0.057816091954022986,0.0514367816091954,0.05373563218390805,0.07620689655172413,0.029885057471264367
"Illinois","Hardin County",3650,0.4926027397260274,0.5073972602739726,0.9621917808219178,0.007671232876712329,0.00821917808219178,0.004931506849315068,0.0013698630136986301,0.021643835616438355,0.05150684931506849,0.044931506849315066,0.06054794520547945,0.08465753424657534,0.021917808219178082
"Illinois","Henderson County",6312,0.5009505703422054,0.4990494296577947,0.9673637515842839,0.006178707224334601,0.003643852978453739,0.005544993662864386,0.0007921419518377693,0.0185361216730038,0.04721166032953105,0.046261089987325726,0.05544993662864385,0.08111533586818757,0.03770595690747782
"Illinois","Henry County",48907,0.49958083709898377,0.5004191629010162,0.9534422475310282,0.020733228372216656,0.003475985032817388,0.005070848753757131,0.0003680454740630176,0.06391723066227738,0.06528717770462306,0.05097429815772793,0.0610137608113358,0.06647310200993722,0.025170221031754144
"Illinois","Iroquois County",26827,0.506280985574235,0.4937190144257651,0.9621649830394752,0.013456592239162039,0.0038394155142207477,0.005777761210720543,0.0003354829090095799,0.07719834495098223,0.06307078689380102,0.05158981622991762,0.05699481865284974,0.07078689380102136,0.029634323629179556
"Illinois","Jackson County",52565,0.5005231617996766,0.4994768382003234,0.7738228859507277,0.15552173499476837,0.006772567297631504,0.033101873870446115,0.0011224198611243222,0.0478265005231618,0.08467611528583659,0.06669837344240465,0.04664700846570912,0.05328640730524113,0.020717207267193
"Illinois","Jasper County",9193,0.49385401936255846,0.5061459806374415,0.9820515609703034,0.003372130969215708,0.0026106820406831283,0.0036984662243010986,0.00021755683672359405,0.014141194387033613,0.05950179484390297,0.05079952137495921,0.05286631132383335,0.06744261938431415,0.02621559882519308
"Illinois","Jefferson County",36877,0.4821433413780947,0.5178566586219052,0.8709764894107438,0.08918838300295577,0.004257396209019172,0.012528134067304825,0.00037964042628196436,0.031293217994956206,0.05775957914147029,0.06429481790818126,0.06006453887246793,0.061474631884372376,0.02123274669848415
"Illinois","Jersey County",21333,0.5070079219987812,0.49299207800121875,0.9647963249425773,0.009093892092063939,0.003796934327098861,0.008015750246097596,0.00042188159189987344,0.014953358646228848,0.06656354005531337,0.05268832325505086,0.05639150611728308,0.06670416725261333,0.02198471851122674
"Illinois","Jo Daviess County",21939,0.49455307899174983,0.5054469210082502,0.970737043620949,0.008295729066958385,0.0032818268836318884,0.004649254751811842,0.0005925520762113132,0.03372988741510552,0.05437804822462282,0.04430466292903049,0.05200783991977757,0.08715073613200237,0.030767127034048953
"Illinois","Johnson County",13463,0.4397236871425388,0.5602763128574612,0.8964569561019089,0.08460224318502563,0.003936715442323405,0.0029711059942063435,0.00029711059942063434,0.03312783183540073,0.05503973854267251,0.06358166827601575,0.061501894080071305,0.062096115278912574,0.021169130208720195
"Illinois","Kane County",515588,0.49875288020667663,0.5012471197933234,0.8619285165674919,0.060096433586507056,0.010739194861013057,0.04549174922612629,0.0009251572961356743,0.327216692397806,0.07458474595995251,0.05887064865745518,0.06606631651628819,0.050672242177862946,0.01477536327455255
"Illinois","Kankakee County",106601,0.5037476196283337,0.4962523803716663,0.8099361169219801,0.15198731719214642,0.004756052945094323,0.010928602921173347,0.0005253234022194914,0.11612461421562649,0.07632198572246039,0.061819307511186576,0.05773867036894588,0.05627526946276301,0.021069220739017458
"Illinois","Kendall County",134867,0.5007674227201614,0.49923257727983866,0.8458258877264268,0.0871302839093329,0.006510117374895267,0.036747314020479434,0.0008007889253857504,0.21748092565268004,0.07906307695729867,0.055491706644323666,0.07459942016950032,0.038274744748530036,0.009616881816901094
"Illinois","Knox County",49268,0.4881667613867013,0.5118332386132987,0.8679670374279451,0.08829260371843793,0.004424778761061947,0.009214906227165707,0.0004871316067224162,0.06436226353819924,0.06357067467727531,0.05770479824632622,0.054924088657952425,0.06903060810262239,0.028030364536819032
"Illinois","Lake County",711239,0.49710856688117494,0.502891433118825,0.8017333132744408,0.07601804737929163,0.009214905256882707,0.08906570084036448,0.0010334078980483354,0.23113186987777667,0.07724267088840742,0.05739842725159897,0.0639953658334259,0.05274879470895156,0.016794635839710702
"Illinois","LaSalle County",108965,0.4911944202266783,0.5088055797733217,0.9402652227779562,0.030541917129353464,0.0037810306061579406,0.010030743816821916,0.0004129766438764741,0.10554765291607397,0.062120864497774514,0.059404395906942596,0.056788877162391595,0.06458036984352773,0.024127013261138898
"Illinois","Lawrence County",15152,0.42938225976768746,0.5706177402323126,0.8633843717001056,0.11424234424498415,0.005279831045406547,0.005477824709609292,0.00039598732840549105,0.04204065469904963,0.05293030623020063,0.0791974656810982,0.0642819429778247,0.05458025343189018,0.019931362196409716
"Illinois","Lee County",34049,0.462333695556404,0.537666304443596,0.9056359951834121,0.06420159182354841,0.004640371229698376,0.008399659314517314,0.0005286498869276631,0.0716026902405357,0.055302652060266085,0.06329113924050633,0.05953185115568739,0.06446591676701224,0.024552850303973684
"Illinois","Livingston County",35664,0.4908030506953791,0.5091969493046209,0.9260879318079857,0.04615298340062808,0.003981606101390758,0.007318304172274563,0.0003084342754598475,0.05223755047106326,0.06062135486765366,0.06101390758187528,0.05633131449080305,0.0615466576940332,0.02635711081202333
"Illinois","Logan County",27992,0.48821091740497286,0.5117890825950272,0.8807516433266648,0.08991854815661618,0.00400114318376679,0.007180623035152901,0.00021434695627322093,0.037546441840525864,0.06566161760503,0.07084166904829951,0.05719491283223778,0.057123463846813376,0.02429265504429837
"Illinois","McDonough County",26828,0.5053675264648875,0.4946324735351126,0.8942149992545102,0.05777545847621888,0.005181154018189951,0.02329655583718503,0.0002236469360369763,0.03145966900253466,0.09829282838825108,0.05225883405397346,0.04521395556880871,0.05538989115849113,0.025868495601610256
"Illinois","McHenry County",311122,0.4987014740198379,0.5012985259801621,0.9261607986577612,0.01870005978362186,0.005595875572926376,0.031007129036198018,0.000591407872153046,0.1472348467803627,0.06898258560950367,0.05624160297246739,0.06332564074543105,0.0559362565167362,0.01376951806686766
"Illinois","McLean County",170889,0.5118527231126637,0.4881472768873362,0.8316275477064059,0.08814493618664747,0.0035286062882924005,0.05000321846344703,0.0005734716687440385,0.05368982204823014,0.08706821386982193,0.06524703169893908,0.05340308621385812,0.048511021774368154,0.01591091293178613
"Illinois","Macon County",102432,0.5192713214620431,0.48072867853795687,0.7679436113714464,0.18301897844423617,0.0028994845360824743,0.01175413933145892,0.0005369415807560138,0.02594892221180881,0.06446227741330834,0.058897610121836926,0.056759606373008434,0.06537995938769135,0.026456576069978133
"Illinois","Macoupin County",44406,0.5047741296221231,0.49522587037787685,0.9681124172409133,0.01114714227807053,0.003873350448137639,0.0040985452416340135,0.0003152727108949241,0.012746025311894789,0.06215376300499932,0.050466153222537495,0.058910957978651535,0.07167950276989596,0.025379453227041392
"Illinois","Madison County",264490,0.5103368747400658,0.4896631252599342,0.8708079700555786,0.09147037695186963,0.003554009603387652,0.010752769480887747,0.0006314038337933381,0.03683693145298499,0.062221634088245305,0.06158644939317177,0.058731899126621044,0.06088320919505463,0.019762561911603464
"Illinois","Marion County",37390,0.50583043594544,0.49416956405456003,0.9234019791388072,0.045466702326825356,0.003878042257288045,0.006151377373629313,0.0002674511901577962,0.023294998662744048,0.05924043861995186,0.05841133993046269,0.05715431933672105,0.06461620754212356,0.0254613533030222
"Illinois","Marshall County",11663,0.5001286118494384,0.4998713881505616,0.9653605418845923,0.008145417131098346,0.004715767812741147,0.005058732744576867,0.00025722369887678983,0.03275315099031124,0.053245305667495496,0.0592471919746206,0.05393123553116694,0.07442339020835119,0.028894795507159392
"Illinois","Mason County",12881,0.5032994332738141,0.49670056672618584,0.9682478068472945,0.008073907305333437,0.004813290893564164,0.006055430479000078,0.00007763372408974459,0.01560437854203866,0.06195171182361618,0.05123825789923143,0.062262246719975156,0.06707553761353932,0.028025774396397796
"Illinois","Massac County",13960,0.5156876790830945,0.48431232091690546,0.8992120343839541,0.06489971346704872,0.006160458452722063,0.004871060171919771,0.00014326647564469913,0.033954154727793694,0.06103151862464183,0.0498567335243553,0.062177650429799426,0.06253581661891118,0.03388252148997135
"Illinois","Menard County",12164,0.5087964485366656,0.49120355146333444,0.9653074646497862,0.009865175928970734,0.0036172311739559354,0.004274909569220651,0.00041104899704044723,0.01603091088457744,0.06099967116080237,0.0498191384413022,0.05705360078921407,0.06478132193357448,0.02375863202893785
"Illinois","Mercer County",15582,0.49711205236811706,0.5028879476318829,0.9715055833654216,0.007251957386728276,0.002631241175715569,0.005455012193556668,0.00019252984212552945,0.030676421512001027,0.06083943011166731,0.047875754075214993,0.058914131690412014,0.06783468104222821,0.027916827108201772
"Illinois","Monroe County",34932,0.4994847131569907,0.5005152868430093,0.9747223176457117,0.005210122523760449,0.0022901637467078895,0.0062693232566128475,0.00040077865567388066,0.01723348219397687,0.059630138554906675,0.047807168212527194,0.05948700332073743,0.0654128020153441,0.023216534982251232
"Illinois","Montgomery County",28084,0.4679888904714428,0.5320111095285572,0.9405355362483977,0.04055690072639225,0.002812989602620709,0.0051986896453496655,0.0004272895598917533,0.019192422731804586,0.05622418458908987,0.061351659307790914,0.057541660732089446,0.06630109670987039,0.027809428856288277
"Illinois","Morgan County",32606,0.4888670796785868,0.5111329203214132,0.8948046371833405,0.07216463227626817,0.004355026682205729,0.008372692142550452,0.0008587376556462001,0.02931975709992026,0.06508004661718703,0.059314236643562536,0.055756609213028274,0.06170643439857695,0.026988897748880573
"Illinois","Moultrie County",14510,0.5081323225361819,0.49186767746381804,0.9738800827015851,0.00833907649896623,0.0031013094417643005,0.0031013094417643005,0.0004824259131633356,0.01791867677463818,0.07015851137146795,0.05416953824948312,0.05651274982770503,0.06064782908339077,0.027291523087525846
